iter	Passed	Remaining
410	4057	5815
411	4066	5804
412	4081	5801
413	4097	5799
414	4144	5841
415	4153	5830
416	4179	5843
417	4188	5831
418	4197	5819
419	4206	5808
420	4221	5805
421	4237	5804
422	4246	5792
423	4263	5791
424	4275	5784
425	4285	5774
426	4312	5787
427	4323	5778
428	4339	5775
429	4355	5773
430	4363	5761
431	4372	5749
432	4396	5757
433	4411	5752
434	4427	5750
435	4441	5744
436	4450	5733
437	4481	5750
438	4507	5760
439	4519	5751
440	4529	5741
441	4542	5734
442	4552	5724
443	4570	5723
444	4584	5717
445	4599	5713
446	4607	5700
447	4622	5695
448	4631	5683
449	4642	5674
450	4656	5668
451	4666	5658
452	4684	5656
453	4699	5652
454	4720	5654
455	4734	5647
456	4745	5638
457	4756	5628
458	4772	5624
459	4790	5623
460	4803	5616
461	4814	5606
462	4824	5596
463	4834	5584
464	4857	5589
465	4873	5584
466	4888	5578
467	4897	5567
468	4912	5561
469	4921	5550
470	4933	5540
471	4948	5535
472	4960	5526
473	4971	5517
474	4995	5521
475	5011	5516
476	5023	5508
477	5040	5504
478	5060	5504
479	5078	5501
480	5094	5496
481	5109	5491
482	5133	5494
483	5154	5494
484	5163	5483
485	5173	5471
486	5190	5468
487	5203	5459
488	5212	5447
489	5225	5439
490	5244	5436
491	5261	5433
492	5270	5420
493	5290	5418
494	5302	5409
495	5313	5399
496	5325	5389
497	5351	5394
498	5363	5384
499	5379	5379
500	5415	5394
501	5444	5400
502	5457	5392
503	5471	5384
504	5484	5376
505	5510	5380
506	5526	5373
507	5542	5368
508	5558	5361
509	5566	5348
510	5576	5336
511	5582	5321
512	5592	5309
513	5601	5296
514	5611	5284
515	5623	5274
516	5636	5265
517	5646	5254
518	5661	5247
519	5675	5239
520	5683	5225
521	5696	5216
522	5718	5215
523	5744	5218
524	5754	5206
525	5761	5191
526	5770	5179
527	5792	5178
528	5805	5168
529	5821	5162
530	5832	5151
531	5847	5143
532	5862	5136
533	5875	5127
534	5884	5114
535	5897	5105
536	5906	5092
537	5915	5079
538	5925	5067
539	5936	5056
540	5952	5049
541	5975	5049
542	5996	5047
543	6016	5042
544	6024	5029
545	6035	5018
546	6044	5005
547	6054	4993
548	6062	4980
549	6073	4968
550	6082	4956
551	6089	4942
552	6097	4928
553	6105	4915
554	6114	4902
555	6122	4889
556	6130	4876
557	6138	4862
558	6149	4851
559	6159	4839
560	6170	4828
561	6180	4816
562	6190	4804
563	6196	4790
564	6205	4777
565	6215	4766
566	6239	4765
567	6252	4755
568	6285	4761
569	6295	4749
570	6304	4736
571	6313	4723
572	6330	4717
573	6352	4714
574	6360	4701
575	6374	4692
576	6387	4682
577	6397	4670
578	6407	4659
579	6415	4645
580	6423	4632
581	6435	4622
582	6447	4611
583	6454	4597
584	6464	4585
585	6476	4575
586	6486	4563
587	6497	4552
588	6504	4538
589	6512	4525
590	6524	4515
591	6535	4504
592	6545	4492
593	6556	4481
594	6581	4479
595	6596	4471
596	6606	4459
597	6618	4449
598	6629	4438
599	6638	4425
600	6646	4412
601	6655	4400
602	6662	4386
603	6675	4376
604	6685	4364
605	6693	4351
606	6700	4338
607	6706	4324
608	6714	4311
609	6722	4297
610	6732	4286
611	6742	4274
612	6755	4264
613	6779	4262
614	6791	4251
615	6799	4238
616	6814	4230
617	6829	4221
618	6840	4210
619	6848	4197
620	6856	4184
621	6872	4176
622	6881	4164
623	6894	4154
624	6912	4147
625	6925	4137
626	6938	4127
627	6947	4115
628	6963	4107
629	6972	4095
630	6980	4082
631	6993	4072
632	7002	4059
633	7011	4047
634	7024	4037
635	7038	4028
636	7050	4017
637	7059	4005
638	7069	3994
639	7079	3982
640	7086	3969
641	7098	3958
642	7114	3949
643	7121	3936
644	7129	3924
645	7138	3911
646	7146	3899
647	7158	3888
648	7171	3878
649	7179	3865
650	7193	3856
651	7205	3845
652	7214	3833
653	7220	3820
654	7228	3807
655	7235	3794
656	7241	3780
657	7250	3768
658	7259	3756
